source_path,edge_type,raw_target,line_number,resolution_status,resolved_path,resolution_candidates,resolution_candidate_count,semantic_reachability_claimed
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_18/SAEDV418All.mqh,MQL5_INCLUDE,SAEDV418Uncertainty.mqh,16,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_18/SAEDV418Uncertainty.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_18/SAEDV418Uncertainty.mqh"",""SAEDV418Uncertainty.mqh"",""mql5/Include/SAEDV418Uncertainty.mqh"",""mql5/SAEDV418Uncertainty.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_18/SAEDV418All.mqh,MQL5_INCLUDE,SAEDV418Transport.mqh,17,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_18/SAEDV418Transport.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_18/SAEDV418Transport.mqh"",""SAEDV418Transport.mqh"",""mql5/Include/SAEDV418Transport.mqh"",""mql5/SAEDV418Transport.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_22/SAEDV422Authority.mqh,MQL5_INCLUDE,SAEDV422Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_22/SAEDV422Types.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_22/SAEDV422Types.mqh"",""SAEDV422Types.mqh"",""mql5/Include/SAEDV422Types.mqh"",""mql5/SAEDV422Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_22/SAEDV422Invariants.mqh,MQL5_INCLUDE,SAEDV422Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_22/SAEDV422Types.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_22/SAEDV422Types.mqh"",""SAEDV422Types.mqh"",""mql5/Include/SAEDV422Types.mqh"",""mql5/SAEDV422Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Facade.mqh,MQL5_INCLUDE,DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Types.mqh,"[""DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Types.mqh"",""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Types.mqh"",""mql5/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Facade.mqh,MQL5_INCLUDE,DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Authority.mqh,4,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Authority.mqh,"[""DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Authority.mqh"",""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Authority.mqh"",""mql5/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Authority.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424Facade.mqh,MQL5_INCLUDE,DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424SelectiveControl.mqh,5,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424SelectiveControl.mqh,"[""DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424SelectiveControl.mqh"",""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424SelectiveControl.mqh"",""mql5/DecisionAlphaLab/StrategyFactory/SAED/V4_24/SAEDV424SelectiveControl.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Adaptation.mqh,MQL5_INCLUDE,SAEDV425Canonical.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Canonical.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Canonical.mqh"",""SAEDV425Canonical.mqh"",""mql5/Include/SAEDV425Canonical.mqh"",""mql5/SAEDV425Canonical.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Authority.mqh,MQL5_INCLUDE,SAEDV425Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh"",""SAEDV425Types.mqh"",""mql5/Include/SAEDV425Types.mqh"",""mql5/SAEDV425Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Contracts.mqh,MQL5_INCLUDE,SAEDV425Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh"",""SAEDV425Types.mqh"",""mql5/Include/SAEDV425Types.mqh"",""mql5/SAEDV425Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Drift.mqh,MQL5_INCLUDE,SAEDV425Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh"",""SAEDV425Types.mqh"",""mql5/Include/SAEDV425Types.mqh"",""mql5/SAEDV425Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Version.mqh,3,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Version.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Version.mqh"",""SAEDV425Version.mqh"",""mql5/Include/SAEDV425Version.mqh"",""mql5/SAEDV425Version.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Types.mqh,4,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Types.mqh"",""SAEDV425Types.mqh"",""mql5/Include/SAEDV425Types.mqh"",""mql5/SAEDV425Types.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Contracts.mqh,5,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Contracts.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Contracts.mqh"",""SAEDV425Contracts.mqh"",""mql5/Include/SAEDV425Contracts.mqh"",""mql5/SAEDV425Contracts.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425KnownTime.mqh,6,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425KnownTime.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425KnownTime.mqh"",""SAEDV425KnownTime.mqh"",""mql5/Include/SAEDV425KnownTime.mqh"",""mql5/SAEDV425KnownTime.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Drift.mqh,7,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Drift.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Drift.mqh"",""SAEDV425Drift.mqh"",""mql5/Include/SAEDV425Drift.mqh"",""mql5/SAEDV425Drift.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425MetaFeatures.mqh,8,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425MetaFeatures.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425MetaFeatures.mqh"",""SAEDV425MetaFeatures.mqh"",""mql5/Include/SAEDV425MetaFeatures.mqh"",""mql5/SAEDV425MetaFeatures.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425SourceEligibility.mqh,9,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425SourceEligibility.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425SourceEligibility.mqh"",""SAEDV425SourceEligibility.mqh"",""mql5/Include/SAEDV425SourceEligibility.mqh"",""mql5/SAEDV425SourceEligibility.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Transfer.mqh,10,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Transfer.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Transfer.mqh"",""SAEDV425Transfer.mqh"",""mql5/Include/SAEDV425Transfer.mqh"",""mql5/SAEDV425Transfer.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Adaptation.mqh,11,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Adaptation.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Adaptation.mqh"",""SAEDV425Adaptation.mqh"",""mql5/Include/SAEDV425Adaptation.mqh"",""mql5/SAEDV425Adaptation.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Regularization.mqh,12,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Regularization.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Regularization.mqh"",""SAEDV425Regularization.mqh"",""mql5/Include/SAEDV425Regularization.mqh"",""mql5/SAEDV425Regularization.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Calibration.mqh,13,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Calibration.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Calibration.mqh"",""SAEDV425Calibration.mqh"",""mql5/Include/SAEDV425Calibration.mqh"",""mql5/SAEDV425Calibration.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Replay.mqh,14,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Replay.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Replay.mqh"",""SAEDV425Replay.mqh"",""mql5/Include/SAEDV425Replay.mqh"",""mql5/SAEDV425Replay.mqh""]",,false
mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Facade.mqh,MQL5_INCLUDE,SAEDV425Metrics.mqh,15,RESOLVED_INTERNAL,mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Metrics.mqh,"[""mql5/Include/DecisionAlphaLab/StrategyFactory/SAED/V4_25/SAEDV425Metrics.mqh"",""SAEDV425Metrics.mqh"",""mql5/Include/SAEDV425Metrics.mqh"",""mql5/SAEDV425Metrics.mqh""]",,false
