family,artifact_count,role_counts,disposition_counts,activity_counts,security_sensitive_count,protected_platform_count,unknown_role_count,human_owner_approval_complete
ICT_STRUCTURAL_NODES,26,"{""CONFIGURATION_CONTRACT"":1,""CONTEXT"":1,""DOCUMENTATION"":5,""GENERATED_PROJECTION"":2,""SHARED_PRIMITIVE"":1,""UNKNOWN_ROLE"":16}","{""ARCHIVE_REFERENCE_ONLY"":2,""EXTRACT_SHARED_LOGIC"":1,""MERGE_AFTER_EQUIVALENCE_PROOF"":8,""MOVE_WITHOUT_SEMANTIC_CHANGE"":5,""QUARANTINE_UNCERTAIN"":10}","{""ACTIVE_RESEARCH"":9,""ACTIVE_RUNTIME_CANDIDATE"":1,""CONFIGURATION"":1,""DOCUMENTATION_ONLY"":5,""GENERATED"":2,""UNKNOWN_ACTIVITY"":8}",0,0,16,false
LAB_OTHER,7271,"{""CONFIGURATION_CONTRACT"":4195,""DIAGNOSTIC"":20,""DOCUMENTATION"":113,""GENERATED_PROJECTION"":2,""PLATFORM_ADAPTER"":64,""RELEASE_METADATA"":1,""SETUP"":39,""SHARED_PRIMITIVE"":14,""SOURCE_EVIDENCE"":3,""TEST_CODE"":941,""TEST_FIXTURE"":7,""TREATMENT"":207,""UNKNOWN_ROLE"":1665}","{""ARCHIVE_REFERENCE_ONLY"":3,""EXTRACT_SHARED_LOGIC"":11,""MERGE_AFTER_EQUIVALENCE_PROOF"":417,""MOVE_WITHOUT_SEMANTIC_CHANGE"":4851,""QUARANTINE_UNCERTAIN"":1715,""SECURITY_RESTRICTED"":71,""WRAP_LEGACY"":203}","{""ACTIVE_PLATFORM"":1578,""ACTIVE_RESEARCH"":75,""CONFIGURATION"":4195,""DOCUMENTATION_ONLY"":116,""GENERATED"":2,""RELEASE_HISTORY"":1,""TEST_ONLY"":948,""UNKNOWN_ACTIVITY"":356}",71,0,1665,false
LCM_CONTROL_PLANE,31,"{""CONFIGURATION_CONTRACT"":10,""PLATFORM_KERNEL"":20,""TEST_CODE"":1}","{""KEEP_CANONICAL"":31}","{""CONFIGURATION"":10,""TEST_ONLY"":1,""UNKNOWN_ACTIVITY"":20}",0,31,0,false
MQL5_OTHER,83,"{""CONFIGURATION_CONTRACT"":4,""DIAGNOSTIC"":44,""DOCUMENTATION"":1,""PLATFORM_ADAPTER"":1,""SHARED_PRIMITIVE"":4,""UNKNOWN_ROLE"":29}","{""EXTRACT_SHARED_LOGIC"":4,""MERGE_AFTER_EQUIVALENCE_PROOF"":1,""MOVE_WITHOUT_SEMANTIC_CHANGE"":5,""QUARANTINE_UNCERTAIN"":28,""REWRITE_WITH_PARITY"":6,""WRAP_LEGACY"":39}","{""ACTIVE_PLATFORM"":10,""ACTIVE_RUNTIME_CANDIDATE"":66,""CONFIGURATION"":4,""DOCUMENTATION_ONLY"":1,""UNKNOWN_ACTIVITY"":2}",0,0,29,false
M_SERIES_CONTEXTS,264,"{""CONFIGURATION_CONTRACT"":1,""CONTEXT"":1,""DOCUMENTATION"":148,""GENERATED_PROJECTION"":75,""SHARED_PRIMITIVE"":2,""SOURCE_EVIDENCE"":2,""TREATMENT"":2,""UNKNOWN_ROLE"":28,""VISUALIZER"":5}","{""ARCHIVE_REFERENCE_ONLY"":75,""EXTRACT_SHARED_LOGIC"":2,""MERGE_AFTER_EQUIVALENCE_PROOF"":2,""MOVE_WITHOUT_SEMANTIC_CHANGE"":151,""QUARANTINE_UNCERTAIN"":26,""REWRITE_WITH_PARITY"":7,""WRAP_LEGACY"":1}","{""ACTIVE_RESEARCH"":21,""ACTIVE_RUNTIME_CANDIDATE"":11,""CONFIGURATION"":1,""DOCUMENTATION_ONLY"":150,""GENERATED"":75,""UNKNOWN_ACTIVITY"":6}",0,0,28,false
OBSIDIAN_VAULT_CONFIGURATION,3,"{""CONFIGURATION_CONTRACT"":3}","{""MOVE_WITHOUT_SEMANTIC_CHANGE"":3}","{""CONFIGURATION"":3}",0,0,0,false
OTHER_DATA,1,"{""DOCUMENTATION"":1}","{""MOVE_WITHOUT_SEMANTIC_CHANGE"":1}","{""DOCUMENTATION_ONLY"":1}",0,0,0,false
OTHER_LICENSES,2,"{""ARCHIVE"":2}","{""ARCHIVE_REFERENCE_ONLY"":2}","{""ARCHIVED"":2}",0,0,0,false
OTHER_PAPERS,2,"{""ARCHIVE"":2}","{""ARCHIVE_REFERENCE_ONLY"":2}","{""ARCHIVED"":2}",0,0,0,false
PATCH_AND_RELEASE_ARCHIVE,38,"{""RELEASE_METADATA"":38}","{""ARCHIVE_REFERENCE_ONLY"":38}","{""RELEASE_HISTORY"":38}",0,0,0,false
PRODUCT_LAB,276,"{""CONFIGURATION_CONTRACT"":2,""DIAGNOSTIC"":1,""DOCUMENTATION"":208,""PLATFORM_ADAPTER"":1,""RELEASE_METADATA"":15,""SOURCE_EVIDENCE"":10,""TEST_CODE"":1,""UNKNOWN_ROLE"":20,""VISUALIZER"":18}","{""ARCHIVE_REFERENCE_ONLY"":15,""MERGE_AFTER_EQUIVALENCE_PROOF"":7,""MOVE_WITHOUT_SEMANTIC_CHANGE"":221,""QUARANTINE_UNCERTAIN"":14,""REWRITE_WITH_PARITY"":3,""SECURITY_RESTRICTED"":4,""WRAP_LEGACY"":12}","{""ACTIVE_PLATFORM"":17,""ACTIVE_RUNTIME_CANDIDATE"":2,""CONFIGURATION"":2,""DOCUMENTATION_ONLY"":218,""RELEASE_HISTORY"":15,""TEST_ONLY"":1,""UNKNOWN_ACTIVITY"":21}",4,0,20,false
REGISTRY_AND_MACHINE_CONTRACTS,792,"{""CONFIGURATION_CONTRACT"":792}","{""MERGE_AFTER_EQUIVALENCE_PROOF"":3,""MOVE_WITHOUT_SEMANTIC_CHANGE"":789}","{""CONFIGURATION"":792}",0,0,0,false
REPOSITORY_GOVERNANCE,2,"{""GOVERNANCE_CONTROL"":2}","{""KEEP_CANONICAL"":2}","{""CONFIGURATION"":2}",0,2,0,false
REPOSITORY_ROOT_CONTROL,7,"{""GOVERNANCE_CONTROL"":6,""PLATFORM_KERNEL"":1}","{""KEEP_CANONICAL"":7}","{""CONFIGURATION"":6,""UNKNOWN_ACTIVITY"":1}",0,7,0,false
RESEARCH_EXPERIMENTS,112,"{""DOCUMENTATION"":22,""RESEARCH"":64,""TEST_CODE"":25,""TEST_FIXTURE"":1}","{""MERGE_AFTER_EQUIVALENCE_PROOF"":23,""MOVE_WITHOUT_SEMANTIC_CHANGE"":28,""QUARANTINE_UNCERTAIN"":8,""REWRITE_WITH_PARITY"":5,""SECURITY_RESTRICTED"":1,""WRAP_LEGACY"":47}","{""ACTIVE_RESEARCH"":54,""ACTIVE_RUNTIME_CANDIDATE"":1,""DOCUMENTATION_ONLY"":22,""TEST_ONLY"":26,""UNKNOWN_ACTIVITY"":9}",1,0,0,false
ROOT_RELEASE_AND_INSTALLATION_HISTORY,1047,"{""RELEASE_METADATA"":1047}","{""ARCHIVE_REFERENCE_ONLY"":1047}","{""RELEASE_HISTORY"":1047}",0,0,0,false
ROOT_REVIEW_REQUIRED,22,"{""CONFIGURATION_CONTRACT"":2,""DOCUMENTATION"":19,""UNKNOWN_ROLE"":1}","{""MOVE_WITHOUT_SEMANTIC_CHANGE"":21,""QUARANTINE_UNCERTAIN"":1}","{""CONFIGURATION"":2,""DOCUMENTATION_ONLY"":19,""UNKNOWN_ACTIVITY"":1}",0,0,1,false
STRATEGY_FACTORY_PLATFORM,1349,"{""PLATFORM_KERNEL"":1349}","{""KEEP_CANONICAL"":1347,""SECURITY_RESTRICTED"":2}","{""ACTIVE_PLATFORM"":1349}",2,1349,0,false
TOOLING_OTHER,722,"{""CONFIGURATION_CONTRACT"":5,""DIAGNOSTIC"":3,""DOCUMENTATION"":8,""PLATFORM_ADAPTER"":11,""SHARED_PRIMITIVE"":9,""TREATMENT"":3,""UNKNOWN_ROLE"":683}","{""EXTRACT_SHARED_LOGIC"":2,""MERGE_AFTER_EQUIVALENCE_PROOF"":10,""MOVE_WITHOUT_SEMANTIC_CHANGE"":13,""QUARANTINE_UNCERTAIN"":619,""REWRITE_WITH_PARITY"":1,""SECURITY_RESTRICTED"":73,""WRAP_LEGACY"":4}","{""ACTIVE_PLATFORM"":87,""ACTIVE_RESEARCH"":54,""CONFIGURATION"":5,""DOCUMENTATION_ONLY"":8,""UNKNOWN_ACTIVITY"":568}",73,0,683,false
