namespace,classification,file_count,total_bytes,markdown_count,json_count,canvas_count,extension_counts,tree_fingerprint,canonical_authority_claimed
docs/laboratory_architecture.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/manifesto.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/mql_live_visual_lab.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/mql_live_visual_lab_debug_packages.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/mql_native,DOMAIN_DOCUMENTATION_CANDIDATE,72,201987,72,0,0,"{"".md"":72}",sha256:78a833066597f1ec358b7287fccf540788d5ac7e2425cc155558debe77a60697,false
docs/mql_visual_lab.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/nds_entry_architecture,DOMAIN_DOCUMENTATION_CANDIDATE,83,197293,83,0,0,"{"".md"":83}",sha256:71cc54cb06d1efefc9a040bcfd006425d4153832bb9dcfb946ca07a1099e3697,false
docs/nds_hook_architecture,DOMAIN_DOCUMENTATION_CANDIDATE,84,201987,73,11,0,"{"".json"":11,"".md"":73}",sha256:cd3b6600343da95ea4b92aca69c71449d9b5a9a2903811870fa6c8e4b5b61559,false
docs/obsidian,DOMAIN_DOCUMENTATION_CANDIDATE,2158,9602728,2155,1,1,"{"".canvas"":1,"".json"":1,"".md"":2155,"".yaml"":1}",sha256:24680ef80cc5aaab725e23f87832a0e3cad085cb31f75ecd73ab0606e4b88813,false
docs/obsidian_deep,GENERATED_OR_DERIVED,2133,5256431,2129,0,4,"{"".canvas"":4,"".md"":2129}",sha256:4d5a4c3d9ce2dce2a531337d8226c68500880a19162a169a2b48a904666bc6bc,false
docs/obsidian_deep/00_master_command_center.md,GENERATED_OR_DERIVED,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/obsidian_deep/00_mocs,GENERATED_OR_DERIVED,72,58078,72,0,0,"{"".md"":72}",sha256:d7fa2641d1eef251e2ab5432faba7a8ba2ce8439babb9c290b85d65c50ea057a,false
docs/obsidian_deep/01_canonical_model,GENERATED_OR_DERIVED,5,6774,5,0,0,"{"".md"":5}",sha256:acb26b6f8ae13700ce500d74915bbd7143714268022372de65b72124993a1549,false
docs/obsidian_deep/01_concepts,GENERATED_OR_DERIVED,753,402225,753,0,0,"{"".md"":753}",sha256:e9dacc0bb59407ac39763defc86bdc7065953bc1f5f61aa794984a3f8793b163,false
docs/obsidian_deep/02_architecture,GENERATED_OR_DERIVED,1,1003,1,0,0,"{"".md"":1}",sha256:dccf3c77803671a2f1836ea56ef972a812ce1b84ed82681e21b48fe43f732f79,false
docs/obsidian_deep/02_concepts,GENERATED_OR_DERIVED,20,149629,20,0,0,"{"".md"":20}",sha256:f3304889b7f0c77cfc864de9e1ff70613d56527d902f240f58c377914d311f0d,false
docs/obsidian_deep/03_decision_maps,GENERATED_OR_DERIVED,233,88470,233,0,0,"{"".md"":233}",sha256:b123ee2382e3175e2ba26fcdf856aa6d2cf58f995176f430912cb1e7eeb5fefb,false
docs/obsidian_deep/03_source_cards,GENERATED_OR_DERIVED,892,2893514,892,0,0,"{"".md"":892}",sha256:b8f2b8cccbf2638bcb7c2c0db4e709aa72fed9a51ec2defcc539183b035556a6,false
docs/obsidian_deep/04_checklists,GENERATED_OR_DERIVED,125,75785,125,0,0,"{"".md"":125}",sha256:a37628d3908c31d7cde5e9c7bd9aa104e47312c68144b924f131c6a0504a35c7,false
docs/obsidian_deep/04_relationships,GENERATED_OR_DERIVED,6,1169217,6,0,0,"{"".md"":6}",sha256:2f36ad78e14c55ecff8255a91b309447f45b137b690fea89f4d2eac052e20cae,false
docs/obsidian_deep/05_workflows,GENERATED_OR_DERIVED,5,4709,5,0,0,"{"".md"":5}",sha256:e3290824caf8e198f3c9da83c1eb0cb8127b2a8511e7bafde9bd81a3eb61851c,false
docs/obsidian_deep/06_conversation_knowledge,GENERATED_OR_DERIVED,4,8112,4,0,0,"{"".md"":4}",sha256:0de5611e890ffeac3fdf241e1de31ff282aaa5759220c558f374caf82acf15b2,false
docs/obsidian_deep/07_canvases,GENERATED_OR_DERIVED,4,9268,0,0,4,"{"".canvas"":4}",sha256:27c49d576b3cb69e38d949cd3df5784d7ce9f2ef26ec5245e77f2d57fa724815,false
docs/obsidian_deep/08_templates,GENERATED_OR_DERIVED,9,2493,9,0,0,"{"".md"":9}",sha256:aefd3f4f40f5ca2c0bb4e4f525066d369f897547ea3b36422ced80202604b4f0,false
docs/obsidian_deep/09_indexes,GENERATED_OR_DERIVED,3,381140,3,0,0,"{"".md"":3}",sha256:1c317f625e2720aaa09bc73724033a8eb65de8cb080c1f3075ea0d991303d6fb,false
docs/obsidian_hook,DOMAIN_DOCUMENTATION_CANDIDATE,169,169300,166,0,1,"{"".canvas"":1,"".md"":166,"".png"":2}",sha256:bc1859ddc451a9be0054932e965074fceaf27e0009dae6704b9ccc1922d8920f,false
docs/obsidian_zone,DOMAIN_DOCUMENTATION_CANDIDATE,5,6220,5,0,0,"{"".md"":5}",sha256:a25b752a204a3b18a354ae1ed73c2cb5ce5a510a6afa98eb69608ba82cf44205,false
docs/patches,ARCHIVE_OR_RELEASE_HISTORY,42,28114,42,0,0,"{"".md"":42}",sha256:6d62adbadd1d8c88cbd7398be4514c50fdd21cbdb573ee536744ad3035277bb4,false
docs/principles.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/process,DOMAIN_DOCUMENTATION_CANDIDATE,2,3240,2,0,0,"{"".md"":2}",sha256:70c395f6b7216a84ca7da9c9b9984776144b7d2f0b06e0e6a23095e62b6ca943,false
docs/reports,DOMAIN_DOCUMENTATION_CANDIDATE,1,3323,1,0,0,"{"".md"":1}",sha256:9f58576f09415cad1e076ce93ebd987880c792c3588b991267549a51d70a7201,false
docs/research,DOMAIN_DOCUMENTATION_CANDIDATE,4,12955,4,0,0,"{"".md"":4}",sha256:9a005f2306c9a86263ac66c3c0d7eb1df9970b6afeaabb1cea27dcf94c263d60,false
docs/research-roadmap.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/research_lessons_and_failure_modes.md,DOMAIN_DOCUMENTATION_CANDIDATE,0,0,0,0,0,{},sha256:6375508cf89fca1184992a7df1925296aa53eca766c56d31f66bb87e3b778620,false
docs/root_archive,ARCHIVE_OR_RELEASE_HISTORY,84,110080,79,0,0,"{"".diff"":1,"".md"":79,""<none>"":4}",sha256:4da7b2425bf55138bb9207cce145a5da3cc93ccf9d2fad310791216eebe979d5,false
docs/strategy_factory,DOMAIN_DOCUMENTATION_CANDIDATE,104,161195,104,0,0,"{"".md"":104}",sha256:4fc08035838e9753cffbfc14caa02a94ac802a453d2d7f15c8afd57c9809092c,false
docs/strategy_factory/00_start_here,DOMAIN_DOCUMENTATION_CANDIDATE,3,7091,3,0,0,"{"".md"":3}",sha256:94a8f1ccebff619e23516d99aaf7b330625409ddb42dcb190265491fd0552629,false
docs/strategy_factory/01_governance,DOMAIN_DOCUMENTATION_CANDIDATE,5,7266,5,0,0,"{"".md"":5}",sha256:545608a3370e1f79d11267dee3d50a46d85f87007d199c689fbed1e5a8c22e70,false
docs/strategy_factory/02_architecture,DOMAIN_DOCUMENTATION_CANDIDATE,4,14524,4,0,0,"{"".md"":4}",sha256:7b4ce1c4f862ecd39362c0bbec3a554b6c3301c30666230fcd8bba009b42068d,false
docs/strategy_factory/03_contracts,DOMAIN_DOCUMENTATION_CANDIDATE,6,13199,6,0,0,"{"".md"":6}",sha256:192fb1e7db1c0a46540aa9ed3764fd1bca81066d37afac24730cacbf092d0c32,false
docs/strategy_factory/04_candidate_engine,DOMAIN_DOCUMENTATION_CANDIDATE,10,15514,10,0,0,"{"".md"":10}",sha256:ce77132b5fb70faefb014cdae71d53112e3efbbc5faaa515afb4ee65ca4fa18e,false
docs/strategy_factory/05_outcome_statistics,DOMAIN_DOCUMENTATION_CANDIDATE,6,11353,6,0,0,"{"".md"":6}",sha256:2ec0e84e23cb011492f04aca711f10c2bcc71a2d97fadfbf2877e41831c82a4c,false
docs/strategy_factory/06_validation_anti_overfit,DOMAIN_DOCUMENTATION_CANDIDATE,12,18407,12,0,0,"{"".md"":12}",sha256:388e3045d991c31b79ff7601913e396e58f6fc123f769d8075baedfdf8a77e3b,false
docs/strategy_factory/07_training_ai,DOMAIN_DOCUMENTATION_CANDIDATE,12,18451,12,0,0,"{"".md"":12}",sha256:99144fd009bad5d947a9f7fee53cfd302c90ccf24b118c5360a5972bdce2b6eb,false
docs/strategy_factory/08_execution,DOMAIN_DOCUMENTATION_CANDIDATE,7,12018,7,0,0,"{"".md"":7}",sha256:c3effd1d84996ca62e4a1f6b94adef5bda0d11b2b0917d52de3a724c575d8fc5,false
docs/strategy_factory/09_portfolio_promotion,DOMAIN_DOCUMENTATION_CANDIDATE,6,10707,6,0,0,"{"".md"":6}",sha256:5712cecb359c16bde7f7f452a993a4b415a22a5c2650baa030d6f6dceeaa4761,false
docs/strategy_factory/10_testing,DOMAIN_DOCUMENTATION_CANDIDATE,4,8123,4,0,0,"{"".md"":4}",sha256:94150592620a1e75b8323c3b737dca93d377522c9bac536866f3e23d8727951e,false
