identity_id,family_candidate,source_artifact_path,risk_class,aggregate_risk_score,critical_dimensions,granularity_class
CTX_EXP0017_CYCLE_GROUP_CGD_DIVERGENCEFIELD_D716A54C_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGD_DivergenceField.mqh,MODERATE,40,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGD_ENGINE_281006BE_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGD_Engine.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGD_TYPES_843D8CF4_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGD_Types.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGH_DISPLAY_1C918126_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGH_Display.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGH_ENGINE_5C19C24B_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGH_Engine.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGH_HUNTFIELD_D8A7DD22_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGH_HuntField.mqh,CRITICAL,84,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGH_TYPES_A46AD56C_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGH_Types.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGM_CSVREADER_4BE18322_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGM_CsvReader.mqh,HIGH,62,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGM_DISPLAY_438ADA17_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGM_Display.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGM_ENGINE_D6738B94_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGM_Engine.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGM_FEATUREBUILDER_28571F32_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGM_FeatureBuilder.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGM_LEDGER_46D6FE5E_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGM_Ledger.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGM_TYPES_F4CD0268_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGM_Types.mqh,HIGH,62,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGO_DISPLAY_038F1EB0_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGO_Display.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGO_ENGINE_992F91C2_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGO_Engine.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGO_LEDGER_B8F75E3C_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGO_Ledger.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGO_OUTCOMEFIELD_90DCB505_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGO_OutcomeField.mqh,CRITICAL,84,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGO_TYPES_953F33DE_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGO_Types.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP12_DISPLAY_D6FDF27C_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP12_Display.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP12_ENGINE_355DD689_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP12_Engine.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP12_FILEINVENTORY_922C29A0_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP12_FileInventory.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP12_TYPES_282DED12_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP12_Types.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP12_WRITERS_D6A6EAC9_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP12_Writers.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP13_DISPLAY_047AFF8F_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP13_Display.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP13_ENGINE_436446F3_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP13_Engine.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP13_FILEINVENTORY_1478C696_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP13_FileInventory.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP13_TYPES_A9483F04_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP13_Types.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGP13_WRITERS_67EFAF93_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGP13_Writers.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_CONTRACTS_07477B03_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_Contracts.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_CSVINSPECTOR_08E098F4_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_CsvInspector.mqh,HIGH,62,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_DISPLAY_121D57B3_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_Display.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_ENGINE_BD14E170_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_Engine.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_LEDGER_A7E30CCA_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_Ledger.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_RECONCILER_8B5FD478_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_Reconciler.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGPI_TYPES_F2AD107A_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGPI_Types.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGRK_CSVREADER_019893E9_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGRK_CsvReader.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGRK_DISPLAY_6D47F571_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGRK_Display.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGRK_ENGINE_866F4D3B_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGRK_Engine.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGRK_LEDGER_09D02516_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGRK_Ledger.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGRK_RANKER_A971EA69_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGRK_Ranker.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGRK_TYPES_12D6D596_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGRK_Types.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGR_DISPLAY_D0E19C54_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGR_Display.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGR_ENGINE_DB8B0440_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGR_Engine.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGR_REFERENCEFIELD_C72586A2_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGR_ReferenceField.mqh,CRITICAL,84,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGR_TYPES_E3DB16F0_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGR_Types.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGS_AGGREGATOR_2F6F57D4_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGS_Aggregator.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGS_CSVREADER_E78DECDF_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGS_CsvReader.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGS_DISPLAY_AE5C6BD6_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGS_Display.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGS_ENGINE_E147FE42_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGS_Engine.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGS_LEDGER_49FE7F86_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGS_Ledger.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGS_TYPES_3CA0243A_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGS_Types.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGT_DISPLAY_C6A3D0A6_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGT_Display.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGT_ENGINE_612B3A80_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGT_Engine.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGT_TIME_2ADAB0C1_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGT_Time.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGT_TYPES_C69A0553_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGT_Types.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGV_DISPLAY_EBD004F0_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGV_Display.mqh,HIGH,63,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGV_ENGINE_4B0166EE_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGV_Engine.mqh,CRITICAL,84,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGV_LEDGER_877FF49B_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGV_Ledger.mqh,HIGH,83,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGV_TYPES_39427486_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGV_Types.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_BASELINEMODEL_3D972C0D_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_BaselineModel.mqh,CRITICAL,60,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_CSVREADER_C05B3040_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_CsvReader.mqh,HIGH,61,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_DISPLAY_BFE568B2_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_Display.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_ENGINE_34DD1D48_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_Engine.mqh,MODERATE,39,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_LEDGER_138B1A66_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_Ledger.mqh,MODERATE,49,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_SPLITTER_B43F4394_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_Splitter.mqh,CRITICAL,59,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGWF_TYPES_19A7B8A1_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGWF_Types.mqh,HIGH,62,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_AUDIT_9012DA94_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_Audit.mqh,HIGH,57,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_CLOSEDCANDLE_4444B0CD_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_ClosedCandle.mqh,CRITICAL,67,"[""CURRENT_BAR_OR_FUTURE_AWARENESS""]",EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_ENGINE_30868A24_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_Engine.mqh,MODERATE,47,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_TRADEENTITLEMENT_CB42CB08_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_TradeEntitlement.mqh,MODERATE,47,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_TRADEPLANNER_80530882_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_TradePlanner.mqh,MODERATE,47,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_TYPES_192B5BA2_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_Types.mqh,MODERATE,47,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_UTILITIES_18C07BBD_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_Utilities.mqh,MODERATE,35,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGX_VOLUMEMODEL_5C7644C4_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/Execution/CGX_VolumeModel.mqh,MODERATE,35,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_EXP0017_CG_CONTROLLED_MODEL_COMPARISON_B_7F483D6F_V1,EXP0017_CYCLE_GROUP,mql5/Experts/IntermarketDivergenceExecution/EXP0017_CG_Controlled_Model_Comparison_Bridge.mq5,MODERATE,45,[],COMPOSITE_CONTEXT_SHELL
CTX_EXP0017_CYCLE_GROUP_EXP0017_CG_RAW_EXECUTION_BACKTEST_7A592D5A_V1,EXP0017_CYCLE_GROUP,mql5/Experts/IntermarketDivergenceExecution/EXP0017_CG_Raw_Execution_Backtest.mq5,HIGH,59,[],COMPOSITE_CONTEXT_SHELL
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTAUDIT_00D0DAED_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntAudit.mqh,HIGH,72,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTCLASSIFIER_4791609A_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntClassifier.mqh,HIGH,63,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTENGINE_53905708_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntEngine.mqh,HIGH,72,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTEVENTS_192457CD_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntEvents.mqh,MODERATE,52,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTSELFTEST_795D1565_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntSelfTest.mqh,MODERATE,52,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTSTORE_5C0C8B13_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntStore.mqh,MODERATE,40,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_HUNTTYPES_708B8D2E_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_HuntTypes.mqh,HIGH,63,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLEAUDIT_04833489_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleAudit.mqh,HIGH,62,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLECHECKPOINT_1EFBF0A3_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleCheckpoint.mqh,HIGH,84,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLEENGINE_E4B9BF3B_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleEngine.mqh,HIGH,85,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLEEVENTS_4507544F_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleEvents.mqh,MODERATE,40,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLEIDENTITY_202F1916_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleIdentity.mqh,HIGH,64,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLESELFTEST_1E164D40_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleSelfTest.mqh,HIGH,62,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLESTATEMACHINE_F38273B5_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleStateMachine.mqh,HIGH,74,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLESTORE_6925733B_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleStore.mqh,MODERATE,40,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0018_DAYE_TRADER_DAYE_LIFECYCLETYPES_6B4154FF_V1,EXP0018_DAYE_TRADER,mql5/Include/DayeTrader/EXP0018/DAYE_LifecycleTypes.mqh,HIGH,75,[],EMBEDDED_CONTEXT_FRAGMENT
