classification_id,artifact_path,authority_surfaces,capability_kinds,security_sensitive,primary_disposition,security_reviewer_role,security_review_status,risk_indicator_only,live_authority_inferred,runtime_authorized,live_order_authorized,capital_authorized,record_digest
ARTCLS_3E59F099CA4DF11E8819EC36A15F6227,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_sizing.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:1c142ce49160415a6a86ebce64b327285ff4245aea9a30504a2622e6cd9f666a
ARTCLS_B14D02A4A734687CFDC4D7D2C6A7BEE4,lab/11_strategy_factory/acl_os/tests_acl_00/test_approvals_security.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:49929669eccdc385a14594d64131415e6245e938e86bd1150c6f7e905f6164f2
ARTCLS_E58F1D44E13890EDA5543592416B124E,lab/11_strategy_factory/acl_os/tests_acl_00/test_audit_store.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:34bbe2210653fc329f581baf63a90c63c479450be298211e9acc2523382a3853
ARTCLS_960C1B1A7381532B63CBE24C29C06F32,lab/11_strategy_factory/acl_os/tests_acl_00/test_cli_delivery.py,"[""DYNAMIC_CODE""]","[""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:0098d7c67650340b5841159c7f249425f31c863bfdf9fcf32407acc9c75d1f00
ARTCLS_0FDFE8594264202167C1E46135AA0A2D,lab/11_strategy_factory/acl_os/tests_acl_00/test_evidence.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:89c709feb5a456efa09c083b2033a134838b1f4726a596b19ddb39ece3560353
ARTCLS_6F8551BC2B61948756E6263E9DE595C7,lab/11_strategy_factory/acl_os/tests_acl_00/test_service.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:e569b947b8d2c1f84b76a2a7785295d51041ef91236c757d563139ee4c36f704
ARTCLS_94C93E70EDA9192806AD3584C6905038,lab/11_strategy_factory/acl_os/tests_acl_00/test_signatures_claims_waivers.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:0de49446989af6bbd92943a12f9b71d0d54c9c4f6db629a80637118c05ce422c
ARTCLS_73F8C056D4FE6C75DBC2C0B572654314,lab/11_strategy_factory/acl_os/tests_acl_01/conftest.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:16a8747081cd293302e143bf2a42d99e1655b417718a3482e045a374eb7e0332
ARTCLS_2259949DABAB4AF7987484725527AC6F,lab/11_strategy_factory/acl_os/tests_acl_01/test_compatibility_migration.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:8937b366a34ce19d1a06fe190a154d108d1d5602d5f03a1a9dc4cab2673887c7
ARTCLS_37139B7786D169901F773B5CB0AB45F3,lab/11_strategy_factory/acl_os/tests_acl_01/test_contracts_cli.py,"[""DYNAMIC_CODE""]","[""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:641fd7376e38f32fb3d8597d07a6044ecbaacf299ff069804539616527022c83
ARTCLS_8EE350A9BCF096B336FE89A6E690838F,lab/11_strategy_factory/acl_os/tests_acl_01/test_dependency_lineage.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:051ea90a5d9cc30bede18aed511eb6e67d11bc9a3cc0d9183a2d9a9664a320e7
ARTCLS_B3B9ABD871201664067CBBC7A3DCF792,lab/11_strategy_factory/acl_os/tests_acl_01/test_locator.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:076b4bfd1c59b67c5cb47078aa0d40a34b96211d4e6f3491c2f89a00d2bd009b
ARTCLS_ADD7E5524FECCF62A85294378BF55215,lab/11_strategy_factory/acl_os/tests_acl_01/test_path_and_registration.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:96855aeb0199c3c1e00d3c89515a5386e36e6bdace7969f1e9a02ab0d722a7e1
ARTCLS_95FA32819E42B9EA7AE19C482737D6FD,lab/11_strategy_factory/acl_os/tests_acl_01/test_registry_scanner_service.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:1253c4c920311386407e2f5bcf7eaa15cb055cc9958ebc7b44ae3c2596db5e36
ARTCLS_D0BB9E84B7760751DADCDEA3F26995B5,lab/11_strategy_factory/acl_os/tests_acl_02/test_loader_schema.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,KEEP_CANONICAL,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:550bd20c5886dd18bda3be838fb9c55bb5ea247fb5ff658028eeef16beee3efa
