path,bytes,sha256,classification
ACL_OS_02_FILE_HASHES.sha256,55231,d8a9437b667763fad3e2e5fed1a329764015b3c1e23be9a71356e8bb3a172dd1,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_02_FILE_INDEX.txt,31801,dc33eb18c432cc15e468dd91ed13daa9de23c7fc243cd064767842d0d9229b98,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_02_PATCH_MANIFEST.json,1300,e7399218759f2b90802495af69df68c563d8982e4439dc57b408d1cee388035a,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_02_QA_REPORT.json,15570,3ad39f8666f27f0cfc08cc059557af5078223e73fdf56cdf20d3e0e2469f8aae,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_03_ARTIFACT_INVENTORY.csv,66570,13a89944b285007d21c00318cf288f1f547d12caad8baf31ac5671482be7eff5,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_03_FILE_HASHES.sha256,57464,760a09ffad600ca931a796893a54201ad6f7cef61ef3f43c4db5c28715f7680b,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_03_FILE_INDEX.txt,33704,66d110dd1558e95f99c9c33ab186567e8b654b3813d120e5daa303dbfc0f86b8,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_03_PATCH_MANIFEST.json,1238,647de4c03abef3bd307b6bde5311eabe296417869dc4615ba130774488bed411,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_03_QA_REPORT.json,22462,88abdac94b661037edd41cf62b96cfd6ef38fe437c30cbeeffda92b5a65e45ed,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_04_ARTIFACT_INVENTORY.csv,65879,b54a781319c53723786840aeb2d58073f201beeb3c7521b02b235feb0f3dd3c7,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_04_FILE_HASHES.sha256,54731,9030c3bbceb692ae36c44efb99b16c9a3af0f81565d9904a49eaefe64cea5d60,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_04_FILE_INDEX.txt,32093,d85264299af61505fe944aa1c808e4df2f58cf7bff2b3b5c44afb6a27e7cc574,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_04_PATCH_MANIFEST.json,1843,baa0cb2194c937d8d987a6c7eac97a74d3377cea7277477233a145a1a5066707,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_04_QA_REPORT.json,25231,8de4b1f53883c550c54eedfb9ebe4c09cfd0d35bcd1e84cf30d42982b63e28bd,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_05_ARTIFACT_INVENTORY.csv,58703,bd9e8089fa68e47d9c46a7dd81b8f11095d76224aa2c2811898dc50b2e9a3205,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_05_FILE_HASHES.sha256,49635,44eb496dcc9d0ba62017af2480e47b43e83d6cb16ca03071baa27d392b407ee6,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_05_FILE_INDEX.txt,28559,b9ad651f9d3fbd3c0d718fb5de8993c6c5b5af93c9072338b92081504dc0c100,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_05_PATCH_MANIFEST.json,1438,f63171e95cc95d83dd5125bf4237013c4e2ed13fee42350f001c5fb252648fc8,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_05_QA_REPORT.json,1946,6c833f675e93db1cddace579eb03abdf19dddb7af5ae02476314391bf24933ca,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_06_ARTIFACT_INVENTORY.csv,61483,bcfd625ea7fdc7647ee90b302f84f3b2bc47616ad4956ed80b98c2edf4bb30e2,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_06_FILE_HASHES.sha256,56428,a628030cd78e22b72b8bcb1363e6ed6b15fafeed883e2fc4bee3f065ea2a0c7b,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_06_FILE_INDEX.txt,33856,ef8f4f5489e9bf70a98e2300794b7eeaf41411c6ec8973e33fa70a87961ca1ab,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_06_PATCH_MANIFEST.json,82267,441de5c50e9453e5513486ebe05c4e371d35a30cd0c3b3f5e35558bf3ed2e9a2,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
